state,date,key,val
Victoria,2020-01-01,No. of suicides,63
Victoria,2020-01-01,Percent population depressed,NA
Victoria,2020-02-01,No. of suicides,63
Victoria,2020-02-01,Percent population depressed,NA
Victoria,2020-03-01,No. of suicides,73
Victoria,2020-03-01,Percent population depressed,NA
Victoria,2020-04-01,No. of suicides,52
Victoria,2020-04-01,Percent population depressed,NA
Victoria,2020-05-01,No. of suicides,57
Victoria,2020-05-01,Percent population depressed,38.44
Victoria,2020-05-02,No. of suicides,NA
Victoria,2020-05-02,Percent population depressed,35.519999999999996
Victoria,2020-05-03,No. of suicides,NA
Victoria,2020-05-03,Percent population depressed,42.95
Victoria,2020-05-04,No. of suicides,NA
Victoria,2020-05-04,Percent population depressed,44.15
Victoria,2020-05-05,No. of suicides,NA
Victoria,2020-05-05,Percent population depressed,55.21
Victoria,2020-05-06,No. of suicides,NA
Victoria,2020-05-06,Percent population depressed,44.56
Victoria,2020-05-07,No. of suicides,NA
Victoria,2020-05-07,Percent population depressed,44.269999999999996
Victoria,2020-05-08,No. of suicides,NA
Victoria,2020-05-08,Percent population depressed,44.46
Victoria,2020-05-09,No. of suicides,NA
Victoria,2020-05-09,Percent population depressed,43.669999999999995
Victoria,2020-05-10,No. of suicides,NA
Victoria,2020-05-10,Percent population depressed,43.47
Victoria,2020-05-11,No. of suicides,NA
Victoria,2020-05-11,Percent population depressed,43.78999999999999
Victoria,2020-05-12,No. of suicides,NA
Victoria,2020-05-12,Percent population depressed,44.03
Victoria,2020-05-13,No. of suicides,NA
Victoria,2020-05-13,Percent population depressed,47.62
Victoria,2020-05-14,No. of suicides,NA
Victoria,2020-05-14,Percent population depressed,40.72
Victoria,2020-05-15,No. of suicides,NA
Victoria,2020-05-15,Percent population depressed,41.52
Victoria,2020-05-16,No. of suicides,NA
Victoria,2020-05-16,Percent population depressed,44.25
Victoria,2020-05-17,No. of suicides,NA
Victoria,2020-05-17,Percent population depressed,40.39
Victoria,2020-05-18,No. of suicides,NA
Victoria,2020-05-18,Percent population depressed,46.39
Victoria,2020-05-19,No. of suicides,NA
Victoria,2020-05-19,Percent population depressed,45.519999999999996
Victoria,2020-05-20,No. of suicides,NA
Victoria,2020-05-20,Percent population depressed,44.589999999999996
Victoria,2020-05-21,No. of suicides,NA
Victoria,2020-05-21,Percent population depressed,43.94
Victoria,2020-05-22,No. of suicides,NA
Victoria,2020-05-22,Percent population depressed,40.5
Victoria,2020-05-23,No. of suicides,NA
Victoria,2020-05-23,Percent population depressed,46.28
Victoria,2020-05-24,No. of suicides,NA
Victoria,2020-05-24,Percent population depressed,43.88000000000001
Victoria,2020-05-25,No. of suicides,NA
Victoria,2020-05-25,Percent population depressed,43.27000000000001
Victoria,2020-05-26,No. of suicides,NA
Victoria,2020-05-26,Percent population depressed,43.88000000000001
Victoria,2020-05-27,No. of suicides,NA
Victoria,2020-05-27,Percent population depressed,40.349999999999994
Victoria,2020-05-28,No. of suicides,NA
Victoria,2020-05-28,Percent population depressed,38.70999999999999
Victoria,2020-05-29,No. of suicides,NA
Victoria,2020-05-29,Percent population depressed,41.24
Victoria,2020-05-30,No. of suicides,NA
Victoria,2020-05-30,Percent population depressed,41.279999999999994
Victoria,2020-05-31,No. of suicides,NA
Victoria,2020-05-31,Percent population depressed,41.09
Victoria,2020-06-01,No. of suicides,55
Victoria,2020-06-01,Percent population depressed,39.660000000000004
Victoria,2020-06-02,No. of suicides,NA
Victoria,2020-06-02,Percent population depressed,35.79000000000001
Victoria,2020-06-03,No. of suicides,NA
Victoria,2020-06-03,Percent population depressed,34.64
Victoria,2020-06-04,No. of suicides,NA
Victoria,2020-06-04,Percent population depressed,44.48
Victoria,2020-06-05,No. of suicides,NA
Victoria,2020-06-05,Percent population depressed,37.66
Victoria,2020-06-06,No. of suicides,NA
Victoria,2020-06-06,Percent population depressed,38.04
Victoria,2020-06-07,No. of suicides,NA
Victoria,2020-06-07,Percent population depressed,40.15999999999998
Victoria,2020-06-08,No. of suicides,NA
Victoria,2020-06-08,Percent population depressed,39.849999999999994
Victoria,2020-06-09,No. of suicides,NA
Victoria,2020-06-09,Percent population depressed,40.92
Victoria,2020-06-10,No. of suicides,NA
Victoria,2020-06-10,Percent population depressed,36.95
Victoria,2020-06-11,No. of suicides,NA
Victoria,2020-06-11,Percent population depressed,34.93000000000001
Victoria,2020-06-12,No. of suicides,NA
Victoria,2020-06-12,Percent population depressed,40.39
Victoria,2020-06-13,No. of suicides,NA
Victoria,2020-06-13,Percent population depressed,37.33
Victoria,2020-06-14,No. of suicides,NA
Victoria,2020-06-14,Percent population depressed,44.24
Victoria,2020-06-15,No. of suicides,NA
Victoria,2020-06-15,Percent population depressed,38.86999999999999
Victoria,2020-06-16,No. of suicides,NA
Victoria,2020-06-16,Percent population depressed,43.07
Victoria,2020-06-17,No. of suicides,NA
Victoria,2020-06-17,Percent population depressed,40.62
Victoria,2020-06-18,No. of suicides,NA
Victoria,2020-06-18,Percent population depressed,38.63999999999999
Victoria,2020-06-19,No. of suicides,NA
Victoria,2020-06-19,Percent population depressed,41.70000000000002
Victoria,2020-06-20,No. of suicides,NA
Victoria,2020-06-20,Percent population depressed,39.35000000000001
Victoria,2020-06-21,No. of suicides,NA
Victoria,2020-06-21,Percent population depressed,39.269999999999996
Victoria,2020-06-22,No. of suicides,NA
Victoria,2020-06-22,Percent population depressed,41.78999999999999
Victoria,2020-06-23,No. of suicides,NA
Victoria,2020-06-23,Percent population depressed,42.09
Victoria,2020-06-24,No. of suicides,NA
Victoria,2020-06-24,Percent population depressed,43.64
Victoria,2020-06-25,No. of suicides,NA
Victoria,2020-06-25,Percent population depressed,41.290000000000006
Victoria,2020-06-26,No. of suicides,NA
Victoria,2020-06-26,Percent population depressed,39.410000000000004
Victoria,2020-06-27,No. of suicides,NA
Victoria,2020-06-27,Percent population depressed,44.69
Victoria,2020-06-28,No. of suicides,NA
Victoria,2020-06-28,Percent population depressed,43.59
Victoria,2020-06-29,No. of suicides,NA
Victoria,2020-06-29,Percent population depressed,40.83
Victoria,2020-06-30,No. of suicides,NA
Victoria,2020-06-30,Percent population depressed,42.46
Victoria,2020-07-01,No. of suicides,57
Victoria,2020-07-01,Percent population depressed,39.31000000000001
Victoria,2020-07-02,No. of suicides,NA
Victoria,2020-07-02,Percent population depressed,43.16
Victoria,2020-07-03,No. of suicides,NA
Victoria,2020-07-03,Percent population depressed,39.43000000000001
Victoria,2020-07-04,No. of suicides,NA
Victoria,2020-07-04,Percent population depressed,41.78999999999999
Victoria,2020-07-05,No. of suicides,NA
Victoria,2020-07-05,Percent population depressed,41.47
Victoria,2020-07-06,No. of suicides,NA
Victoria,2020-07-06,Percent population depressed,39.27
Victoria,2020-07-07,No. of suicides,NA
Victoria,2020-07-07,Percent population depressed,45.11999999999999
Victoria,2020-07-08,No. of suicides,NA
Victoria,2020-07-08,Percent population depressed,46.150000000000006
Victoria,2020-07-09,No. of suicides,NA
Victoria,2020-07-09,Percent population depressed,44.769999999999996
Victoria,2020-07-10,No. of suicides,NA
Victoria,2020-07-10,Percent population depressed,46.29
Victoria,2020-07-11,No. of suicides,NA
Victoria,2020-07-11,Percent population depressed,43.85
Victoria,2020-07-12,No. of suicides,NA
Victoria,2020-07-12,Percent population depressed,44.16
Victoria,2020-07-13,No. of suicides,NA
Victoria,2020-07-13,Percent population depressed,45.769999999999996
Victoria,2020-07-14,No. of suicides,NA
Victoria,2020-07-14,Percent population depressed,47.04999999999999
Victoria,2020-07-15,No. of suicides,NA
Victoria,2020-07-15,Percent population depressed,47.40999999999998
Victoria,2020-07-16,No. of suicides,NA
Victoria,2020-07-16,Percent population depressed,48.77000000000001
Victoria,2020-07-17,No. of suicides,NA
Victoria,2020-07-17,Percent population depressed,45.53
Victoria,2020-07-18,No. of suicides,NA
Victoria,2020-07-18,Percent population depressed,47.5
Victoria,2020-07-19,No. of suicides,NA
Victoria,2020-07-19,Percent population depressed,46.96999999999999
Victoria,2020-07-20,No. of suicides,NA
Victoria,2020-07-20,Percent population depressed,49.390000000000015
Victoria,2020-07-21,No. of suicides,NA
Victoria,2020-07-21,Percent population depressed,42.89000000000001
Victoria,2020-07-22,No. of suicides,NA
Victoria,2020-07-22,Percent population depressed,48.52000000000001
Victoria,2020-07-23,No. of suicides,NA
Victoria,2020-07-23,Percent population depressed,52.449999999999996
Victoria,2020-07-24,No. of suicides,NA
Victoria,2020-07-24,Percent population depressed,45.97999999999999
Victoria,2020-07-25,No. of suicides,NA
Victoria,2020-07-25,Percent population depressed,48.81999999999999
Victoria,2020-07-26,No. of suicides,NA
Victoria,2020-07-26,Percent population depressed,51.83
Victoria,2020-07-27,No. of suicides,NA
Victoria,2020-07-27,Percent population depressed,49.74000000000001
Victoria,2020-07-28,No. of suicides,NA
Victoria,2020-07-28,Percent population depressed,49.96000000000001
Victoria,2020-07-29,No. of suicides,NA
Victoria,2020-07-29,Percent population depressed,47.41
Victoria,2020-07-30,No. of suicides,NA
Victoria,2020-07-30,Percent population depressed,51.73
Victoria,2020-07-31,No. of suicides,NA
Victoria,2020-07-31,Percent population depressed,53.31
Victoria,2020-08-01,No. of suicides,61
Victoria,2020-08-01,Percent population depressed,53.34000000000001
Victoria,2020-08-02,No. of suicides,NA
Victoria,2020-08-02,Percent population depressed,51.59
Victoria,2020-08-03,No. of suicides,NA
Victoria,2020-08-03,Percent population depressed,52.459999999999994
Victoria,2020-08-04,No. of suicides,NA
Victoria,2020-08-04,Percent population depressed,50.67
Victoria,2020-08-05,No. of suicides,NA
Victoria,2020-08-05,Percent population depressed,50.14000000000001
Victoria,2020-08-06,No. of suicides,NA
Victoria,2020-08-06,Percent population depressed,47.870000000000005
Victoria,2020-08-07,No. of suicides,NA
Victoria,2020-08-07,Percent population depressed,49.74000000000001
Victoria,2020-08-08,No. of suicides,NA
Victoria,2020-08-08,Percent population depressed,51.190000000000005
Victoria,2020-08-09,No. of suicides,NA
Victoria,2020-08-09,Percent population depressed,54.88999999999999
Victoria,2020-08-10,No. of suicides,NA
Victoria,2020-08-10,Percent population depressed,52.29999999999999
Victoria,2020-08-11,No. of suicides,NA
Victoria,2020-08-11,Percent population depressed,51.03
Victoria,2020-08-12,No. of suicides,NA
Victoria,2020-08-12,Percent population depressed,51.07999999999999
Victoria,2020-08-13,No. of suicides,NA
Victoria,2020-08-13,Percent population depressed,50.23
Victoria,2020-08-14,No. of suicides,NA
Victoria,2020-08-14,Percent population depressed,52.36000000000001
Victoria,2020-08-15,No. of suicides,NA
Victoria,2020-08-15,Percent population depressed,51.04
Victoria,2020-08-16,No. of suicides,NA
Victoria,2020-08-16,Percent population depressed,54.44
Victoria,2020-08-17,No. of suicides,NA
Victoria,2020-08-17,Percent population depressed,49.07
Victoria,2020-08-18,No. of suicides,NA
Victoria,2020-08-18,Percent population depressed,52.839999999999996
Victoria,2020-08-19,No. of suicides,NA
Victoria,2020-08-19,Percent population depressed,51.81
Victoria,2020-08-20,No. of suicides,NA
Victoria,2020-08-20,Percent population depressed,55.93999999999999
Victoria,2020-08-21,No. of suicides,NA
Victoria,2020-08-21,Percent population depressed,49.45
Victoria,2020-08-22,No. of suicides,NA
Victoria,2020-08-22,Percent population depressed,54.39000000000001
Victoria,2020-08-23,No. of suicides,NA
Victoria,2020-08-23,Percent population depressed,52.81
Victoria,2020-08-24,No. of suicides,NA
Victoria,2020-08-24,Percent population depressed,53.1
Victoria,2020-08-25,No. of suicides,NA
Victoria,2020-08-25,Percent population depressed,59.01
Victoria,2020-08-26,No. of suicides,NA
Victoria,2020-08-26,Percent population depressed,48.39
Victoria,2020-08-27,No. of suicides,NA
Victoria,2020-08-27,Percent population depressed,50.43
Victoria,2020-08-28,No. of suicides,NA
Victoria,2020-08-28,Percent population depressed,50.83
Victoria,2020-08-29,No. of suicides,NA
Victoria,2020-08-29,Percent population depressed,49.22
Victoria,2020-08-30,No. of suicides,NA
Victoria,2020-08-30,Percent population depressed,53.43
Victoria,2020-08-31,No. of suicides,NA
Victoria,2020-08-31,Percent population depressed,50.53000000000001
Victoria,2020-09-01,No. of suicides,49
Victoria,2020-09-01,Percent population depressed,49.77
Victoria,2020-09-02,No. of suicides,NA
Victoria,2020-09-02,Percent population depressed,52.78
Victoria,2020-09-03,No. of suicides,NA
Victoria,2020-09-03,Percent population depressed,53.82
Victoria,2020-09-04,No. of suicides,NA
Victoria,2020-09-04,Percent population depressed,56.24
Victoria,2020-09-05,No. of suicides,NA
Victoria,2020-09-05,Percent population depressed,53.459999999999994
Victoria,2020-09-06,No. of suicides,NA
Victoria,2020-09-06,Percent population depressed,54.190000000000005
Victoria,2020-09-07,No. of suicides,NA
Victoria,2020-09-07,Percent population depressed,58.81000000000001
Victoria,2020-09-08,No. of suicides,NA
Victoria,2020-09-08,Percent population depressed,56.74
Victoria,2020-09-09,No. of suicides,NA
Victoria,2020-09-09,Percent population depressed,53.800000000000004
Victoria,2020-09-10,No. of suicides,NA
Victoria,2020-09-10,Percent population depressed,50.14000000000001
Victoria,2020-09-11,No. of suicides,NA
Victoria,2020-09-11,Percent population depressed,49.470000000000006
Victoria,2020-10-01,No. of suicides,NA
Victoria,2020-10-01,Percent population depressed,NA
Victoria,2020-11-01,No. of suicides,NA
Victoria,2020-11-01,Percent population depressed,NA
Victoria,2020-12-01,No. of suicides,NA
Victoria,2020-12-01,Percent population depressed,NA
